id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin
461,Chennai Super Kings,Sunrisers Hyderabad,04-11-2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,BB McCullum,45
462,Kolkata Knight Riders,Royal Challengers Bangalore,04-11-2015,2015,Eden Gardens,Kolkata,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,CH Gayle,3
463,Delhi Daredevils,Rajasthan Royals,04-12-2015,2015,Feroz Shah Kotla,Delhi,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,DJ Hooda,3
464,Mumbai Indians,Kings XI Punjab,04-12-2015,2015,Wankhede Stadium,Mumbai,India,Mumbai Indians,Kings XI Punjab,field,runs,Result,GJ Bailey,18
465,Royal Challengers Bangalore,Sunrisers Hyderabad,4/13/2015,2015,M Chinnaswamy Stadium,Bangalore,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,DA Warner,8
466,Rajasthan Royals,Mumbai Indians,4/14/2015,2015,"Sardar Patel Stadium, Motera",Ahmedabad,India,Mumbai Indians,Rajasthan Royals,bat,wickets,Result,SPD Smith,7
467,Kolkata Knight Riders,Chennai Super Kings,4/30/2015,2015,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,AD Russell,7
468,Kings XI Punjab,Delhi Daredevils,4/15/2015,2015,Maharashtra Cricket Association Stadium,Pune,India,Kings XI Punjab,Delhi Daredevils,bat,wickets,Result,MA Agarwal,5
469,Sunrisers Hyderabad,Rajasthan Royals,4/16/2015,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,AM Rahane,6
470,Mumbai Indians,Chennai Super Kings,4/17/2015,2015,Wankhede Stadium,Mumbai,India,Mumbai Indians,Chennai Super Kings,bat,wickets,Result,A Nehra,6
471,Sunrisers Hyderabad,Delhi Daredevils,4/18/2015,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,JP Duminy,4
472,Kings XI Punjab,Kolkata Knight Riders,4/18/2015,2015,Maharashtra Cricket Association Stadium,Pune,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,AD Russell,4
473,Rajasthan Royals,Chennai Super Kings,4/19/2015,2015,"Sardar Patel Stadium, Motera",Ahmedabad,India,Chennai Super Kings,Rajasthan Royals,bat,wickets,Result,AM Rahane,8
474,Royal Challengers Bangalore,Mumbai Indians,4/19/2015,2015,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Mumbai Indians,field,runs,Result,Harbhajan Singh,18
475,Delhi Daredevils,Kolkata Knight Riders,4/20/2015,2015,Feroz Shah Kotla,Delhi,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,UT Yadav,6
476,Rajasthan Royals,Kings XI Punjab,4/21/2015,2015,"Sardar Patel Stadium, Motera",Ahmedabad,India,Kings XI Punjab,Kings XI Punjab,field,Tie,Superover,SE Marsh,NULL
477,Sunrisers Hyderabad,Kolkata Knight Riders,4/22/2015,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,Result,DA Warner,16
478,Royal Challengers Bangalore,Chennai Super Kings,4/22/2015,2015,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Chennai Super Kings,field,runs,Result,SK Raina,27
479,Delhi Daredevils,Mumbai Indians,4/23/2015,2015,Feroz Shah Kotla,Delhi,India,Mumbai Indians,Delhi Daredevils,field,runs,Result,SS Iyer,37
480,Rajasthan Royals,Royal Challengers Bangalore,4/24/2015,2015,"Sardar Patel Stadium, Motera",Ahmedabad,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,MA Starc,9
481,Mumbai Indians,Sunrisers Hyderabad,4/25/2015,2015,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,SL Malinga,20
482,Chennai Super Kings,Kings XI Punjab,4/25/2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,BB McCullum,97
483,Delhi Daredevils,Royal Challengers Bangalore,4/26/2015,2015,Feroz Shah Kotla,Delhi,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,VR Aaron,10
484,Kings XI Punjab,Sunrisers Hyderabad,4/27/2015,2015,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Sunrisers Hyderabad,field,runs,Result,TA Boult,20
485,Kolkata Knight Riders,Delhi Daredevils,05-07-2015,2015,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,PP Chawla,13
486,Royal Challengers Bangalore,Rajasthan Royals,4/29/2015,2015,M Chinnaswamy Stadium,Bangalore,India,Rajasthan Royals,NULL,field,NO Result,No Result,NULL,NULL
487,Chennai Super Kings,Kolkata Knight Riders,4/28/2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Kolkata Knight Riders,Chennai Super Kings,field,runs,Result,DJ Bravo,2
488,Delhi Daredevils,Kings XI Punjab,05-01-2015,2015,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,NM Coulter-Nile,9
489,Mumbai Indians,Rajasthan Royals,05-01-2015,2015,Wankhede Stadium,Mumbai,India,Rajasthan Royals,Mumbai Indians,field,runs,Result,AT Rayudu,8
490,Royal Challengers Bangalore,Kolkata Knight Riders,05-02-2015,2015,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,Mandeep Singh,7
491,Sunrisers Hyderabad,Chennai Super Kings,05-02-2015,2015,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Chennai Super Kings,Sunrisers Hyderabad,field,runs,Result,DA Warner,22
492,Kings XI Punjab,Mumbai Indians,05-03-2015,2015,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,LMP Simmons,23
493,Rajasthan Royals,Delhi Daredevils,05-03-2015,2015,Brabourne Stadium,Mumbai,India,Delhi Daredevils,Rajasthan Royals,field,runs,Result,AM Rahane,14
494,Chennai Super Kings,Royal Challengers Bangalore,05-04-2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,SK Raina,24
495,Kolkata Knight Riders,Sunrisers Hyderabad,05-04-2015,2015,Eden Gardens,Kolkata,India,Sunrisers Hyderabad,Kolkata Knight Riders,field,runs,Result,UT Yadav,35
496,Mumbai Indians,Delhi Daredevils,05-05-2015,2015,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Mumbai Indians,bat,wickets,Result,Harbhajan Singh,5
497,Royal Challengers Bangalore,Kings XI Punjab,05-06-2015,2015,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Royal Challengers Bangalore,field,runs,Result,CH Gayle,138
498,Rajasthan Royals,Sunrisers Hyderabad,05-07-2015,2015,Brabourne Stadium,Mumbai,India,Rajasthan Royals,Sunrisers Hyderabad,field,runs,Result,EJG Morgan,7
499,Chennai Super Kings,Mumbai Indians,05-08-2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Mumbai Indians,bat,wickets,Result,HH Pandya,6
500,Kolkata Knight Riders,Kings XI Punjab,05-09-2015,2015,Eden Gardens,Kolkata,India,Kings XI Punjab,Kolkata Knight Riders,bat,wickets,Result,AD Russell,1
501,Delhi Daredevils,Sunrisers Hyderabad,05-09-2015,2015,Shaheed Veer Narayan Singh International Stadium,Raipur,India,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Result,MC Henriques,6
502,Mumbai Indians,Royal Challengers Bangalore,05-10-2015,2015,Wankhede Stadium,Mumbai,India,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,AB de Villiers,39
503,Chennai Super Kings,Rajasthan Royals,05-10-2015,2015,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,RA Jadeja,12
504,Sunrisers Hyderabad,Kings XI Punjab,05-11-2015,2015,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Result,DA Warner,5
505,Delhi Daredevils,Chennai Super Kings,05-12-2015,2015,Shaheed Veer Narayan Singh International Stadium,Raipur,India,Chennai Super Kings,Delhi Daredevils,bat,wickets,Result,Z Khan,6
506,Kings XI Punjab,Royal Challengers Bangalore,5/13/2015,2015,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Royal Challengers Bangalore,Kings XI Punjab,field,runs,Result,AR Patel,22
507,Mumbai Indians,Kolkata Knight Riders,5/14/2015,2015,Wankhede Stadium,Mumbai,India,Kolkata Knight Riders,Mumbai Indians,field,runs,Result,HH Pandya,5
508,Sunrisers Hyderabad,Royal Challengers Bangalore,5/15/2015,2015,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,wickets,Result,V Kohli,6
509,Kings XI Punjab,Chennai Super Kings,5/16/2015,2015,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Chennai Super Kings,bat,wickets,Result,P Negi,7
510,Rajasthan Royals,Kolkata Knight Riders,5/16/2015,2015,Brabourne Stadium,Mumbai,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,SR Watson,9
511,Royal Challengers Bangalore,Delhi Daredevils,5/17/2015,2015,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,NULL,field,NO Result,No Result,NULL,NULL
512,Sunrisers Hyderabad,Mumbai Indians,5/17/2015,2015,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Mumbai Indians,bat,wickets,Result,MJ McClenaghan,9
513,Chennai Super Kings,Mumbai Indians,5/19/2015,2015,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,KA Pollard,25
514,Royal Challengers Bangalore,Rajasthan Royals,5/20/2015,2015,Maharashtra Cricket Association Stadium,Pune,India,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,AB de Villiers,71
515,Chennai Super Kings,Royal Challengers Bangalore,5/22/2015,2015,JSCA International Stadium Complex,Ranchi,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,A Nehra,3
516,Mumbai Indians,Chennai Super Kings,5/24/2015,2015,Eden Gardens,Kolkata,India,Chennai Super Kings,Mumbai Indians,field,runs,Result,RG Sharma,41
517,Mumbai Indians,Rising Pune Supergiants,04-09-2016,2016,Wankhede Stadium,Mumbai,India,Mumbai Indians,Rising Pune Supergiants,bat,wickets,Result,AM Rahane,9
518,Kolkata Knight Riders,Delhi Daredevils,04-10-2016,2016,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,AD Russell,9
519,Kings XI Punjab,Gujarat Lions,04-11-2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Gujarat Lions,Gujarat Lions,field,wickets,Result,AJ Finch,5
520,Royal Challengers Bangalore,Sunrisers Hyderabad,04-12-2016,2016,M Chinnaswamy Stadium,Bangalore,India,Sunrisers Hyderabad,Royal Challengers Bangalore,field,runs,Result,AB de Villiers,45
521,Kolkata Knight Riders,Mumbai Indians,4/13/2016,2016,Eden Gardens,Kolkata,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,RG Sharma,6
522,Gujarat Lions,Rising Pune Supergiants,4/14/2016,2016,Saurashtra Cricket Association Stadium,Rajkot,India,Rising Pune Supergiants,Gujarat Lions,bat,wickets,Result,AJ Finch,7
523,Delhi Daredevils,Kings XI Punjab,4/15/2016,2016,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,A Mishra,8
524,Sunrisers Hyderabad,Kolkata Knight Riders,4/16/2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Kolkata Knight Riders,bat,wickets,Result,G Gambhir,8
525,Mumbai Indians,Gujarat Lions,4/16/2016,2016,Wankhede Stadium,Mumbai,India,Gujarat Lions,Gujarat Lions,field,wickets,Result,AJ Finch,3
526,Kings XI Punjab,Rising Pune Supergiants,4/17/2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Rising Pune Supergiants,Kings XI Punjab,bat,wickets,Result,M Vohra,6
527,Royal Challengers Bangalore,Delhi Daredevils,4/17/2016,2016,M Chinnaswamy Stadium,Bangalore,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,Q de Kock,7
528,Sunrisers Hyderabad,Mumbai Indians,4/18/2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,DA Warner,7
529,Kings XI Punjab,Kolkata Knight Riders,4/19/2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,RV Uthappa,6
530,Mumbai Indians,Royal Challengers Bangalore,4/20/2016,2016,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,RG Sharma,6
531,Gujarat Lions,Sunrisers Hyderabad,4/21/2016,2016,Saurashtra Cricket Association Stadium,Rajkot,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,B Kumar,10
532,Rising Pune Supergiants,Royal Challengers Bangalore,4/22/2016,2016,Maharashtra Cricket Association Stadium,Pune,India,Rising Pune Supergiants,Royal Challengers Bangalore,field,runs,Result,AB de Villiers,13
533,Delhi Daredevils,Mumbai Indians,4/23/2016,2016,Feroz Shah Kotla,Delhi,India,Mumbai Indians,Delhi Daredevils,field,runs,Result,SV Samson,10
534,Sunrisers Hyderabad,Kings XI Punjab,4/23/2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,Mustafizur Rahman,5
535,Gujarat Lions,Royal Challengers Bangalore,4/24/2016,2016,Saurashtra Cricket Association Stadium,Rajkot,India,Royal Challengers Bangalore,Gujarat Lions,bat,wickets,Result,V Kohli,6
536,Rising Pune Supergiants,Kolkata Knight Riders,4/24/2016,2016,Maharashtra Cricket Association Stadium,Pune,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,SA Yadav,2
537,Kings XI Punjab,Mumbai Indians,4/25/2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Mumbai Indians,field,runs,Result,PA Patel,25
538,Sunrisers Hyderabad,Rising Pune Supergiants,4/26/2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Rising Pune Supergiants,Rising Pune Supergiants,field,runs,Result,AB Dinda,34
539,Delhi Daredevils,Gujarat Lions,4/27/2016,2016,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Gujarat Lions,field,runs,Result,CH Morris,1
540,Mumbai Indians,Kolkata Knight Riders,4/28/2016,2016,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,RG Sharma,6
541,Rising Pune Supergiants,Gujarat Lions,4/29/2016,2016,Maharashtra Cricket Association Stadium,Pune,India,Gujarat Lions,Gujarat Lions,field,wickets,Result,DR Smith,3
542,Delhi Daredevils,Kolkata Knight Riders,4/30/2016,2016,Feroz Shah Kotla,Delhi,India,Kolkata Knight Riders,Delhi Daredevils,field,runs,Result,CR Brathwaite,27
543,Sunrisers Hyderabad,Royal Challengers Bangalore,4/30/2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Royal Challengers Bangalore,Sunrisers Hyderabad,field,runs,Result,DA Warner,15
544,Gujarat Lions,Kings XI Punjab,05-01-2016,2016,Saurashtra Cricket Association Stadium,Rajkot,India,Gujarat Lions,Kings XI Punjab,field,runs,Result,AR Patel,23
545,Rising Pune Supergiants,Mumbai Indians,05-01-2016,2016,Maharashtra Cricket Association Stadium,Pune,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,RG Sharma,8
546,Royal Challengers Bangalore,Kolkata Knight Riders,05-02-2016,2016,M Chinnaswamy Stadium,Bangalore,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,AD Russell,5
547,Gujarat Lions,Delhi Daredevils,05-03-2016,2016,Saurashtra Cricket Association Stadium,Rajkot,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,RR Pant,8
548,Kolkata Knight Riders,Kings XI Punjab,05-04-2016,2016,Eden Gardens,Kolkata,India,Kings XI Punjab,Kolkata Knight Riders,field,runs,Result,AD Russell,7
549,Delhi Daredevils,Rising Pune Supergiants,05-05-2016,2016,Feroz Shah Kotla,Delhi,India,Rising Pune Supergiants,Rising Pune Supergiants,field,wickets,Result,AM Rahane,7
550,Sunrisers Hyderabad,Gujarat Lions,05-06-2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,B Kumar,5
551,Royal Challengers Bangalore,Rising Pune Supergiants,05-07-2016,2016,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,V Kohli,7
552,Kings XI Punjab,Delhi Daredevils,05-07-2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Delhi Daredevils,Kings XI Punjab,field,runs,Result,MP Stoinis,9
553,Mumbai Indians,Sunrisers Hyderabad,05-08-2016,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Mumbai Indians,Sunrisers Hyderabad,field,runs,Result,A Nehra,85
554,Kolkata Knight Riders,Gujarat Lions,05-08-2016,2016,Eden Gardens,Kolkata,India,Gujarat Lions,Gujarat Lions,field,wickets,Result,P Kumar,5
555,Kings XI Punjab,Royal Challengers Bangalore,05-09-2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Royal Challengers Bangalore,field,runs,Result,SR Watson,1
556,Rising Pune Supergiants,Sunrisers Hyderabad,05-10-2016,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Result,A Zampa,4
557,Royal Challengers Bangalore,Mumbai Indians,05-11-2016,2016,M Chinnaswamy Stadium,Bangalore,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,KH Pandya,6
558,Sunrisers Hyderabad,Delhi Daredevils,05-12-2016,2016,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,CH Morris,7
559,Mumbai Indians,Kings XI Punjab,5/13/2016,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Mumbai Indians,Kings XI Punjab,bat,wickets,Result,MP Stoinis,7
560,Royal Challengers Bangalore,Gujarat Lions,5/14/2016,2016,M Chinnaswamy Stadium,Bangalore,India,Gujarat Lions,Royal Challengers Bangalore,field,runs,Result,AB de Villiers,144
561,Kolkata Knight Riders,Rising Pune Supergiants,5/14/2016,2016,Eden Gardens,Kolkata,India,Rising Pune Supergiants,Kolkata Knight Riders,bat,wickets,Result,YK Pathan,8
562,Kings XI Punjab,Sunrisers Hyderabad,5/15/2016,2016,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Sunrisers Hyderabad,bat,wickets,Result,HM Amla,7
563,Mumbai Indians,Delhi Daredevils,5/15/2016,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,KH Pandya,80
564,Kolkata Knight Riders,Royal Challengers Bangalore,5/16/2016,2016,Eden Gardens,Kolkata,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,V Kohli,9
565,Rising Pune Supergiants,Delhi Daredevils,5/17/2016,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Rising Pune Supergiants,Rising Pune Supergiants,field,runs,Result,AB Dinda,19
566,Royal Challengers Bangalore,Kings XI Punjab,5/18/2016,2016,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Royal Challengers Bangalore,field,runs,Result,V Kohli,82
567,Gujarat Lions,Kolkata Knight Riders,5/19/2016,2016,Green Park,Kanpur,India,Gujarat Lions,Gujarat Lions,field,wickets,Result,DR Smith,6
568,Delhi Daredevils,Sunrisers Hyderabad,5/20/2016,2016,Shaheed Veer Narayan Singh International Stadium,Raipur,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,KK Nair,6
569,Rising Pune Supergiants,Kings XI Punjab,5/21/2016,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Kings XI Punjab,Rising Pune Supergiants,bat,wickets,Result,MS Dhoni,4
570,Gujarat Lions,Mumbai Indians,5/21/2016,2016,Green Park,Kanpur,India,Gujarat Lions,Gujarat Lions,field,wickets,Result,SK Raina,6
571,Kolkata Knight Riders,Sunrisers Hyderabad,5/22/2016,2016,Eden Gardens,Kolkata,India,Sunrisers Hyderabad,Kolkata Knight Riders,field,runs,Result,YK Pathan,22
572,Delhi Daredevils,Royal Challengers Bangalore,5/22/2016,2016,Shaheed Veer Narayan Singh International Stadium,Raipur,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,V Kohli,6
573,Gujarat Lions,Royal Challengers Bangalore,5/24/2016,2016,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,AB de Villiers,4
574,Sunrisers Hyderabad,Kolkata Knight Riders,5/25/2016,2016,Feroz Shah Kotla,Delhi,India,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,Result,MC Henriques,22
575,Gujarat Lions,Sunrisers Hyderabad,5/27/2016,2016,Feroz Shah Kotla,Delhi,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,DA Warner,4
576,Royal Challengers Bangalore,Sunrisers Hyderabad,5/29/2016,2016,M Chinnaswamy Stadium,Bangalore,India,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Result,BCJ Cutting,8
577,Sunrisers Hyderabad,Royal Challengers Bangalore,04-05-2017,2017,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India,Royal Challengers Bangalore,Sunrisers Hyderabad,Field,runs,Result,Yuvraj Singh,35
578,Rising Pune Supergiants,Mumbai Indians,04-06-2017,2017,Maharashtra Cricket Association Stadium,Pune,India,Rising Pune Supergiant,Rising Pune Supergiants,Field,wickets,Result,SPD Smith,7
579,Gujarat Lions,Kolkata Knight Riders,04-07-2017,2017,Saurashtra Cricket Association Stadium,Rajkot,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,wickets,Result,CA Lynn,10
580,Kings XI Punjab,Rising Pune Supergiants,04-08-2017,2017,Holkar Cricket Stadium,Indore,India,Kings XI Punjab,Kings XI Punjab,Field,wickets,Result,GJ Maxwell,6
581,Royal Challengers Bangalore,Delhi Daredevils,04-08-2017,2017,M Chinnaswamy Stadium,Bengaluru,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,runs,Result,KM Jadhav,15
582,Sunrisers Hyderabad,Gujarat Lions,04-09-2017,2017,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,wickets,Result,Rashid Khan,9
583,Mumbai Indians,Kolkata Knight Riders,04-09-2017,2017,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,N Rana,4
584,Kings XI Punjab,Royal Challengers Bangalore,04-10-2017,2017,Holkar Cricket Stadium,Indore,India,Royal Challengers Bangalore,Kings XI Punjab,Bat,wickets,Result,AR Patel,8
585,Rising Pune Supergiants,Delhi Daredevils,04-11-2017,2017,Maharashtra Cricket Association Stadium,Pune,India,Rising Pune Supergiants,Delhi Daredevils,Field,runs,Result,SV Samson,97
586,Mumbai Indians,Sunrisers Hyderabad,04-12-2017,2017,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,JJ Bumrah,4
587,Kolkata Knight Riders,Kings XI Punjab,4/13/2017,2017,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,wickets,Result,Narine,8
588,Royal Challengers Bangalore,Mumbai Indians,4/14/2017,2017,M Chinnaswamy Stadium,Bengaluru,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,KA Pollard,4
589,Gujarat Lions,Rising Pune Supergiants,4/14/2017,2017,Saurashtra Cricket Association Stadium,Rajkot,India,Gujarat Lions,Gujarat Lions,Field,wickets,Result,AJ Tye,7
590,Kolkata Knight Riders,Sunrisers Hyderabad,4/15/2017,2017,Eden Gardens,Kolkata,India,Sunrisers Hyderabad,Kolkata Knight Riders,Field,runs,Result,RV Uthappa,17
591,Delhi Daredevils,Kings XI Punjab,4/15/2017,2017,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,Bat,runs,Result,CJ Anderson,51
592,Mumbai Indians,Gujarat Lions,4/16/2017,2017,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,N Rana,6
593,Royal Challengers Bangalore,Rising Pune Supergiants,4/16/2017,2017,M Chinnaswamy Stadium,Bengaluru,India,Royal Challengers Bangalore,Rising Pune Supergiants,Field,runs,Result,BA Stokes,27
594,Delhi Daredevils,Kolkata Knight Riders,4/17/2017,2017,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kolkata Knight Riders,Bat,wickets,Result,NM Coulter-Nile,4
595,Sunrisers Hyderabad,Kings XI Punjab,4/17/2017,2017,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India,Kings XI Punjab,Sunrisers Hyderabad,Field,runs,Result,B Kumar,5
596,Gujarat Lions,Royal Challengers Bangalore,4/18/2017,2017,Saurashtra Cricket Association Stadium,Rajkot,India,Gujarat Lions,Royal Challengers Bangalore,Field,runs,Result,CH Gayle,21
597,Sunrisers Hyderabad,Delhi Daredevils,4/19/2017,2017,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,runs,Result,KS Williamson,15
598,Kings XI Punjab,Mumbai Indians,4/20/2017,2017,Holkar Cricket Stadium,Indore,India,Mumbai Indians,Mumbai Indians,Field,wickets,Result,JC Buttler,8
599,Kolkata Knight Riders,Gujarat Lions,4/21/2017,2017,Eden Gardens,Kolkata,India,Gujarat Lions,Gujarat Lions,Field,wickets,Result,SK Raina,4
600,Mumbai Indians,Delhi Daredevils,4/22/2017,2017,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Mumbai Indians,Field,runs,Result,MJ McClenaghan,14
601,Rising Pune Supergiants,Sunrisers Hyderabad,4/22/2017,2017,Maharashtra Cricket Association Stadium,Pune,India,Rising Pune Supergiants,Rising Pune Supergiants,Field,wickets,Result,MS Dhoni,6
