id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin
352,Kings XI Punjab,Delhi Daredevils,5/16/2013,2013,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Delhi Daredevils,Kings XI Punjab,field,runs,Result,DA Miller,7
353,Kolkata Knight Riders,Mumbai Indians,4/24/2013,2013,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Mumbai Indians,bat,wickets,Result,DR Smith,5
354,Chennai Super Kings,Sunrisers Hyderabad,4/25/2013,2013,"MA Chidambaram Stadium, Chepauk",Chennai,India,Sunrisers Hyderabad,Chennai Super Kings,bat,wickets,Result,MS Dhoni,5
355,Kolkata Knight Riders,Kings XI Punjab,4/26/2013,2013,Eden Gardens,Kolkata,India,Kings XI Punjab,Kolkata Knight Riders,bat,wickets,Result,JH Kallis,6
356,Rajasthan Royals,Sunrisers Hyderabad,4/27/2013,2013,Sawai Mansingh Stadium,Jaipur,India,Sunrisers Hyderabad,Rajasthan Royals,bat,wickets,Result,JP Faulkner,8
357,Mumbai Indians,Royal Challengers Bangalore,4/27/2013,2013,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,DR Smith,58
358,Chennai Super Kings,Kolkata Knight Riders,4/28/2013,2013,"MA Chidambaram Stadium, Chepauk",Chennai,India,Kolkata Knight Riders,Chennai Super Kings,field,runs,Result,MEK Hussey,14
359,Delhi Daredevils,Pune Warriors,4/28/2013,2013,Shaheed Veer Narayan Singh International Stadium,Raipur,India,Pune Warriors,Delhi Daredevils,field,runs,Result,DA Warner,15
360,Rajasthan Royals,Royal Challengers Bangalore,4/29/2013,2013,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SV Samson,4
361,Mumbai Indians,Kings XI Punjab,4/29/2013,2013,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,RG Sharma,4
362,Pune Warriors,Chennai Super Kings,4/30/2013,2013,Subrata Roy Sahara Stadium,Pune,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni,37
363,Sunrisers Hyderabad,Mumbai Indians,05-01-2013,2013,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Mumbai Indians,Sunrisers Hyderabad,bat,wickets,Result,I Sharma,7
364,Delhi Daredevils,Kolkata Knight Riders,05-01-2013,2013,Shaheed Veer Narayan Singh International Stadium,Raipur,India,Kolkata Knight Riders,Delhi Daredevils,bat,wickets,Result,DA Warner,7
365,Chennai Super Kings,Kings XI Punjab,05-02-2013,2013,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,SK Raina,15
366,Pune Warriors,Royal Challengers Bangalore,05-02-2013,2013,Subrata Roy Sahara Stadium,Pune,India,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,Result,AB de Villiers,17
367,Kolkata Knight Riders,Rajasthan Royals,05-03-2013,2013,Eden Gardens,Kolkata,India,Rajasthan Royals,Kolkata Knight Riders,bat,wickets,Result,YK Pathan,8
368,Sunrisers Hyderabad,Delhi Daredevils,05-04-2013,2013,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Delhi Daredevils,Sunrisers Hyderabad,bat,wickets,Result,DJG Sammy,6
369,Royal Challengers Bangalore,Kings XI Punjab,5/14/2013,2013,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,AC Gilchrist,7
370,Mumbai Indians,Chennai Super Kings,05-05-2013,2013,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,MG Johnson,60
371,Rajasthan Royals,Pune Warriors,05-05-2013,2013,Sawai Mansingh Stadium,Jaipur,India,Pune Warriors,Rajasthan Royals,bat,wickets,Result,AM Rahane,5
372,Royal Challengers Bangalore,Sunrisers Hyderabad,04-09-2013,2013,M Chinnaswamy Stadium,Bangalore,India,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,wickets,Result,V Kohli,7
373,Rajasthan Royals,Delhi Daredevils,05-07-2013,2013,Sawai Mansingh Stadium,Jaipur,India,Delhi Daredevils,Rajasthan Royals,bat,wickets,Result,AM Rahane,9
374,Mumbai Indians,Kolkata Knight Riders,05-07-2013,2013,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,SR Tendulkar,65
375,Sunrisers Hyderabad,Chennai Super Kings,05-08-2013,2013,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Chennai Super Kings,field,runs,Result,SK Raina,77
376,Kings XI Punjab,Rajasthan Royals,05-09-2013,2013,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,KK Cooper,8
377,Pune Warriors,Kolkata Knight Riders,05-09-2013,2013,Subrata Roy Sahara Stadium,Pune,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,G Gambhir,46
378,Delhi Daredevils,Royal Challengers Bangalore,05-10-2013,2013,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Royal Challengers Bangalore,field,runs,Result,JD Unadkat,4
379,Pune Warriors,Mumbai Indians,05-11-2013,2013,Subrata Roy Sahara Stadium,Pune,India,Pune Warriors,Mumbai Indians,bat,wickets,Result,MG Johnson,5
380,Kings XI Punjab,Sunrisers Hyderabad,05-11-2013,2013,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Sunrisers Hyderabad,field,runs,Result,PA Patel,30
381,Kolkata Knight Riders,Royal Challengers Bangalore,05-12-2013,2013,JSCA International Stadium Complex,Ranchi,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,JH Kallis,5
382,Rajasthan Royals,Chennai Super Kings,05-12-2013,2013,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SR Watson,5
383,Delhi Daredevils,Kings XI Punjab,4/23/2013,2013,Feroz Shah Kotla,Delhi,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,Harmeet Singh,5
384,Mumbai Indians,Sunrisers Hyderabad,5/13/2013,2013,Wankhede Stadium,Mumbai,India,Sunrisers Hyderabad,Mumbai Indians,bat,wickets,Result,KA Pollard,7
385,Kolkata Knight Riders,Pune Warriors,5/15/2013,2013,JSCA International Stadium Complex,Ranchi,India,Kolkata Knight Riders,Pune Warriors,field,runs,Result,MK Pandey,7
386,Chennai Super Kings,Delhi Daredevils,5/14/2013,2013,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni,33
